"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
right_toe_flex,advanced_neurological_examination,,text,"<div class=""rich-text-field-label""><p>Right Toe flexors</p></div>",,,number,0,5,,"[weak_rll] = '1'",y,,,,,
right_toe_flex_tot,advanced_neurological_examination,,calc,"<div class=""rich-text-field-label""><p>Right Toe flexors total</p></div>","if([weak_rll]='0',5,[right_toe_flex])",,,,,,,y,,,,," @HIDDEN"
left_toe_flex,advanced_neurological_examination,,text,"<div class=""rich-text-field-label""><p>Left Toe flexors</p></div>",,,number,0,5,,"[weak_lll] = '1'",y,,,,,
left_toe_flex_tot,advanced_neurological_examination,,calc,"<div class=""rich-text-field-label""><p>Left Toe flexors total</p></div>","if([weak_lll]='0',5,[left_toe_flex])",,,,,,,y,,,,," @HIDDEN"
adv_neurol_exam_tbl9,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 20.2969px;"" border=""0""> <tbody> <tr> <td colspan=""2"">Are there UMN signs or reflexes abnormalities in the lumbar region?   {umn_signs_lumbar}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
umn_signs_lumbar_tbl1,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""color: #e03e2d; font-size: 12pt;"">All variables are mandatory for calculation</span></p> <table style=""text-align: var(--bs-body-text-align); width: 99.9489%; height: 122.569px;"" border=""1""><colgroup><col style=""width: 18.6423%;""><col style=""width: 1.45643%;""><col style=""width: 38.3042%;""><col style=""width: 41.654%;""></colgroup> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.9787%; text-align: center; border-color: #000000;"" colspan=""4""><span style=""font-size: 13.3333px; text-align: center;"">UMN signs or reflexes abnormalities in lumbar region: Lower Limbs</span></td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 41.7952%; text-align: right;"" colspan=""2""> </td> <td style=""width: 38.2292%; text-align: center;"">Right Upper Limb</td> <td style=""width: 32.9137%; text-align: center;"">Left Upper Limb</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 41.7952%; text-align: right;"" colspan=""2"">Clumsiness</td> <td style=""width: 28.2736%; text-align: center;"">{clum_rll}</td> <td style=""width: 29.9383%; text-align: center;"">{clum_lll}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 41.7952%; text-align: right;"" colspan=""2"">Muscle Tone</td> <td style=""width: 28.2736%; text-align: center;"">{musc_rll}</td> <td style=""width: 29.9383%; text-align: center;"">{musc_lll}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 41.7952%; text-align: right;"" colspan=""2"">Normal Reflexes</td> <td style=""width: 28.2736%; text-align: center;"">{nrefl_rll}</td> <td style=""width: 29.9383%; text-align: center;"">{nrefl_lll}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[umn_signs_lumbar] = '1'",,,,,,
clum_rll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Right Lower Limb clumsiness</p></div>","0, No | 1, Yes | UN, Not assessed",,,,,,,y,RH,,,,
clum_lll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Left Lower Limb clumsiness</p></div>","0, No | 1, Yes | UN, Not assessed",,,,,,,y,RH,,,,
musc_rll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Right Lower Limb muscle tone</p></div>","1, Normal | 2, Flaccid | 3, Spastic",,,,,,,y,RH,,,,
musc_lll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Left Lower Limb muscle tone</p></div>","1, Normal | 2, Flaccid | 3, Spastic",,,,,,,y,RH,,,,
nrefl_rll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Right Lower Limb nromal reflexes</p></div>","0, No | 1, Yes | UN, Not assessed",,,,,,,y,RH,,,,
nrefl_lll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Left Lower Limb nromal reflexes</p></div>","0, No | 1, Yes | UN, Not assessed",,,,,,,y,RH,,,,
umn_signs_lumbar_tbl2,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><table style=""text-align: var(--bs-body-text-align); width: 71.172%; height: 102.646px;"" border=""0""> <tbody> <tr style=""height: 51.2604px;""> <td style=""width: 28.2018%;"" colspan=""2""> </td> <td style=""width: 52.8657%; text-align: center;""> <p style=""text-align: center;"">Mucle tone (modified Ashworth)</p> </td> <td style=""width: 18.9428%; text-align: center;""> </td> </tr> <tr style=""height: 24.6667px;""> <td style=""width: 28.2018%; text-align: right;"" colspan=""2"">Right Lower Limb:</td> <td style=""width: 52.8657%; text-align: center;"">{ashw_rll}</td> <td style=""width: 18.9428%; text-align: center;""><span style=""font-weight: normal;"">(Range 0-4)</span></td> </tr> <tr style=""height: 26.7188px;""> <td style=""width: 28.2018%; text-align: right;"" colspan=""2"">Left Lower Limb:</td> <td style=""width: 52.8657%; text-align: center;"">{ashw_lll}</td> <td style=""width: 18.9428%; text-align: center;""><span style=""font-weight: normal;"">(Range 0-4)</span></td> </tr> </tbody> </table></div>",,,,,,,"[musc_rll] = '3' or [musc_lll] = '3'",,,,,,
ashw_rll,advanced_neurological_examination,,text,"<div class=""rich-text-field-label""><p>Right Lower Limb muscle tone sitting position (modified Ashworth)</p></div>",,,number,0,4,,,y,,,,,
ashw_lll,advanced_neurological_examination,,text,"<div class=""rich-text-field-label""><p>Left Lower Limb muscle tone sitting position (modified Ashworth)</p></div>",,,number,0,4,,,y,,,,,
umn_signs_lumbar_tbl3,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><table style=""text-align: var(--bs-body-text-align); width: 99.9489%; height: 188.623px;"" border=""1""><colgroup><col style=""width: 18.5785%;""><col style=""width: 1.41821%;""><col style=""width: 39.7098%;""><col style=""width: 40.1353%;""></colgroup> <tbody> <tr style=""height: 29.2593px;""> <td style=""width: 99.9787%; text-align: center; border-color: #000000;"" colspan=""4"">Reflexes</td> </tr> <tr style=""height: 29.2593px;""> <td style=""width: 41.7952%; text-align: right;"" colspan=""2""> </td> <td style=""width: 38.2292%; text-align: center;""><span style=""font-size: 10pt;"">Right Lower Limb</span></td> <td style=""width: 32.9137%; text-align: center;""><span style=""font-size: 10pt;"">Left Lower Limb</span></td> </tr> <tr style=""height: 29.2593px;""> <td style=""width: 23.2975%; text-align: right;"" colspan=""2""><span style=""font-size: 8pt;"">Patellar</span></td> <td style=""width: 37.1618%; text-align: center;""> <pre><span style=""font-size: 8pt; font-family: 'Open Sans';"">{pat_rll}</span></pre> </td> <td style=""width: 39.5835%; text-align: center;""> <pre><span style=""font-size: 8pt; font-family: 'Open Sans';"">{pat_lll}</span></pre> </td> </tr> <tr style=""height: 29.2593px;""> <td style=""width: 23.2975%; text-align: right;"" colspan=""2""><span style=""font-size: 8pt;"">Ankle</span></td> <td style=""width: 37.1618%; text-align: center;""> <pre><span style=""font-size: 8pt; font-family: 'Open Sans';"">{ref_ank_rll}</span></pre> </td> <td style=""width: 39.5835%; text-align: center;""> <pre><span style=""font-size: 8pt; font-family: 'Open Sans';"">{ref_ank_lll}</span></pre> </td> </tr> <tr style=""height: 29.294px;""> <td style=""width: 23.2975%; text-align: right;"" colspan=""2""><span style=""font-size: 8pt;"">Babinski</span></td> <td style=""width: 37.1618%; text-align: center;""> <pre><span style=""font-size: 8pt; font-family: 'Open Sans';"">{bab_rll}</span></pre> </td> <td style=""width: 39.5835%; text-align: center;""> <pre><span style=""font-size: 8pt; font-family: 'Open Sans';"">{bab_lll}</span></pre> </td> </tr> <tr style=""height: 42.2917px;""> <td style=""text-align: right;"" colspan=""2""><span style=""font-size: 8pt;"">UMN Score for lumbar region</span></td> <td style=""text-align: center;"" colspan=""2""><span style=""font-size: 10pt;"">[umn_score_lumbar]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[nrefl_rll] = '0' or [nrefl_lll] = '0'",,,,,,
umn_score_lumbar,advanced_neurological_examination,,calc,"UMN Score for lumbar region","if([pat_rll] = """" and [pat_lll] = """" and [ref_ank_rll] = """" and [ref_ank_lll] = """" and [bab_rll] = """" and [bab_lll] = """", 
   """", 
   if([pat_rll] = 4, 1, 0) + 
   if([pat_lll] = 4, 1, 0) + 
   if([ref_ank_rll] = 4, 1, 0) + 
   if([ref_ank_lll] = 4, 1, 0) + 
   if([bab_rll] = 1, 1, 0) + 
   if([bab_lll] = 1, 1, 0)
)",,,,,,,,,,,," @HIDDEN"
pat_rll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Right Lower Limb Patellar abnormal reflexes</p></div>","1, Absent | 2, Diminished | 3, Normal | 4, Brisk | UN, Not assessed",,,,,,,y,RH,,,,
pat_lll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Left Lower Limb Patellar abnormal reflexes</p></div>","1, Absent | 2, Diminished | 3, Normal | 4, Brisk | UN, Not assessed",,,,,,,y,RH,,,,
ref_ank_rll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Right Lower Limb Ankle abnormal reflexes</p></div>","1, Absent | 2, Diminished | 3, Normal | 4, Brisk | UN, Not assessed",,,,,,,y,RH,,,,
ref_ank_lll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Left Lower Limb Ankle abnormal reflexes</p></div>","1, Absent | 2, Diminished | 3, Normal | 4, Brisk | UN, Not assessed",,,,,,,y,RH,,,,
bab_rll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Right Lower Limb Babinski abnormal reflexes</p></div>","1, Extensor | 2, Indifferent | 3, Flexor | UN, Not assessed",,,,,,,y,RH,,,,
bab_lll,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Left Lower Limb Babinski abnormal reflexes</p></div>","1, Extensor | 2, Indifferent | 3, Flexor | UN, Not assessed",,,,,,,y,RH,,,,
mrc_tbl1,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9421%; height: 49.0278px;"" border=""1""> <tbody> <tr style=""height: 24.5139px;""> <td style=""text-align: center; background-color: #c2e0f4;"" colspan=""3"">MRC Score Calculated</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9982%;"" colspan=""3"">MRC Score Total: [mrc_total]</td> </tr> <tr> <td colspan=""3"">From a maxium MRC Score of:  [max_mrc_cal] <span style=""font-weight: normal;"">(based on the evaluated muscle groups)</span></td> </tr> <tr> <td colspan=""3"">MRC  [mrc_per_cal] % </td> </tr> </tbody> </table></div>",,,,,,,[mrc_total_man]='',,,,,,
umn_tbl2,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9421%; height: 15.6481px;"" border=""1""> <tbody> <tr> <td style=""text-align: center; background-color: #c2e0f4;"" colspan=""3"">UMN Score Calculated</td> </tr> <tr style=""height: 15.6481px;""> <td style=""width: 99.9982%;"" colspan=""3"">UMN Score Total: [umn_total]</td> </tr> <tr> <td colspan=""3"">From a maxium UMN Score of:  [max_umn_cal] <span style=""font-weight: normal;"">(based on the reflexes evaluated)</span></td> </tr> <tr> <td colspan=""3"">UMN   [umn_per_cal] %</td> </tr> </tbody> </table></div>",,,,,,,[umn_total_man]='',,,,,,
adv_neurol_exam_tbl6,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; background-color: #003b75; height: 19.8646px;"" border=""0""> <tbody> <tr style=""height: 19.8646px;""> <td style=""width: 99.8586%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>Other signs</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 20.2969px;"" border=""0""> <tbody> <tr style=""height: 20.2969px;""> <td style=""width: 100.016%;"" colspan=""2"">Are there extrapyramidal signs?   {extrapyr}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
extrapyr,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Extrapyramidal signs</p></div>","0, No | 1, Yes",,,,,,,y,RH,,,,
types_extrapyr,advanced_neurological_examination,,checkbox,"Types of extrapyramidal signs","1, Cogwheel ridigidity | 2, Bradykinesia | 3, Masked face | 4, Postural instability | 5, Tremor | 6, Monotone voice",,,,,,"[extrapyr] = '1'",y,LV,,,,
adv_neurol_exam_tbl11,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 20.2969px;"" border=""0""> <tbody> <tr> <td colspan=""2"">Are there cerebellar signs?   {cereb}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
cereb,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Cerebellar signs</p></div>","0, No | 1, Yes",,,,,,,y,RH,,,,
types_cereb,advanced_neurological_examination,,checkbox,"Types of cerebellar signs","1, Ataxia | 2, Dysmetria | 3, Nystagmus | 4, Dysdiadochokinesia | 5, Scanning speech",,,,,,"[cereb] = '1'",y,LV,,,,
adv_neurol_exam_tbl12,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 20.2969px;"" border=""0""> <tbody> <tr> <td colspan=""2"">Sensory examination?   {sensory}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
sensory,advanced_neurological_examination,,radio,"<div class=""rich-text-field-label""><p>Sensory examination</p></div>","1, Normal | 2, Abnormal",,,,,,,y,RH,,,,
adv_neurol_exam_tbl10,advanced_neurological_examination,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 67.2588%; height: 124.306px;"" border=""0""> <tbody> <tr style=""height: 24.8611px;""> <td style=""width: 40.6715%; text-align: right;"">Affected Limbs</td> <td style=""width: 59.2806%; text-align: center;"">Sensory Signs</td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 40.6715%; text-align: right;"">Upper Limbs:</td> <td style=""width: 59.2806%; text-align: center;"">{sensory_ul}</td> </tr> <tr style=""height: 24.8611px;""> <td style=""width: 40.6715%; text-align: right;"">Lower Limbs:</td> <td style=""width: 59.2806%; text-align: center;"">{sensory_ll}</td> </tr> </tbody> </table></div>",,,,,,,"[sensory] = '2'",,,,,,
sensory_ul,advanced_neurological_examination,,checkbox,"Sensory Signs in Upper Limbs","1, Pinprick | 2, Vibratory | 99, Other",,,,,,,,RH,,,,
sensory_ll,advanced_neurological_examination,,checkbox,"Sensory Signs in Lower Limbs","1, Pinprick | 2, Vibratory | 99, Other",,,,,,,,RH,,,,
vital_signs_data_tbl1,vital_signs_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8586%; text-align: center;""> <h5><span style=""color: #ffffff;""><strong>VITAL SIGNS DATA</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9717%; height: 49.7222px;"" border=""0""> <tbody> <tr style=""height: 24.8611px;""> <td style=""width: 99.9151%;"">Date and time of the vital signs measurement: {date_vital_signs}<span style=""font-weight: normal;""> ([date_vital_signs_age] y.o)</span></td> </tr> <tr> <td style=""width: 99.9151%;"">Heart rate: {heart_rate} <span style=""font-weight: normal;"">(beats per minute)</span></td> </tr> <tr> <td style=""width: 99.9151%;"">Respiratory rate: {respiratory_rate} <span style=""font-weight: normal;"">(breaths per minute)</span></td> </tr> <tr> <td style=""width: 99.9151%;"">Systolic Blood Pressure {systolic_pressure} <span style=""font-weight: normal;"">(millimeters of mercury)</span></td> </tr> <tr> <td style=""width: 99.9151%;"">Diastolic Blood Pressure {diastolic_pressure} <span style=""font-weight: normal;"">(millimeters of mercury)</span></td> </tr> <tr> <td style=""width: 99.9151%;"">Subject position during Blood Pressure measurement   {position_pressure}</td> </tr> <tr> <td style=""width: 99.9151%;"">Temperature {temperature} <span style=""font-weight: normal;"">(degrees Celsius) </span></td> </tr> <tr> <td style=""width: 99.9151%;"">Temperature method   {temperature_method}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
date_vital_signs,vital_signs_data,,text,"Date and time of the vital signs measurement",,,datetime_dmy,[basic_arm_1][dob],today,y,,y,RH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
date_vital_signs_age,vital_signs_data,,calc,"Age at date of the vital signs measurement","round(datediff([date_vital_signs],[basic_arm_1][dob],'y'),2)",,,,,,,,RH,,,," @HIDDEN @INSTANCETABLE_HIDE"
heart_rate,vital_signs_data,,text,"Heart rate (beats per minute)",,,integer,10,200,,,y,RH,,,,
respiratory_rate,vital_signs_data,,text,"Respiratory rate (breaths per minute)",,,integer,5,60,,,y,RH,,,,
systolic_pressure,vital_signs_data,,text,"Sytolic blood pressure",,"Millimeters of mercury",number,50,250,,,y,RH,,,,
diastolic_pressure,vital_signs_data,,text,"Diastolic blood pressure",,"Millimeters of mercury",number,20,180,,,y,RH,,,,
position_pressure,vital_signs_data,,radio,"Subject position during blood pressure measurement","1, Sitting | 2, Standing | 3, Supine",,,,,,,y,RH,,,,
temperature,vital_signs_data,,text,Temperature,,"Degrees Celsius",number,34,50,,,y,RH,,,,
temperature_method,vital_signs_data,,radio,"Method used for temperature measurement","1, Oral | 2, Rectal | 3, Axillary | 4, Tympanic",,,,,,,y,RH,,,,
treatment_tbl,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 99.8586%;""></colgroup> <tbody> <tr> <td> <h4 style=""text-align: center;""><span style=""color: #ffffff; font-size: 24pt;""><strong>TREATMENT</strong></span></h4> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
treatment_tbl1,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h5><span style=""color: #ffffff;""><strong>MEDICATION</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 100.021%; text-align: left; height: 10px;"">Has the patient received a disease modifying treatment for ALS? {treatment_dic}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
treatment_dic,treatment,,radio,Treatment,"0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
treatment_tbl2,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>ALS TREATMENT DATA</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new treatments</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[treatment_dic] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:als_treatment_data"
treatment_tbl3,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 29.1019px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 29.1019px;""> <td style=""width: 100.021%; text-align: left;""> <p>Has the patient been on symptomatic treatment or used any alternative, unprescribed therapies commonly taken by ALS patients? {other_treatment_dic}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
other_treatment_dic,treatment,,radio,"Other Treatment: Symptomatic or Off-label","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
treatment_tbl4,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>OTHER TREATMENTS: SYMPTOMATIC TREATMENTS AND ALTERNATIVE THERAPIES</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new treatments</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[other_treatment_dic] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:other_treatment_data
@INSTANCETABLE_VARLIST=other_treat_type,symp_treat,type_symp_treat,prod_treat,other_treat_start_date,other_treat_status,other_treat_end_date"
trial_tbl1,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 16.4px;"" border=""0""> <tbody> <tr style=""height: 16.4px;""> <td style=""width: 99.7928%; height: 16.4px;"">Has the patient participated in a clinical trial? {clinical_trials_dic}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
clinical_trials_dic,treatment,,radio,"Clinical Trials","0, No | 1, Yes | 98, Unknown",,,,,,,y,RH,,,,
trial_tbl2,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>CLINICAL TRIALS INFORMATION</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new trials</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[clinical_trials_dic] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:clinical_trials"
respiratory_tbl10,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9527%; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 100%;""></colgroup> <tbody> <tr> <td> <h5 style=""text-align: center;""><span style=""color: #ffffff;""><strong>RESPIRATORY TREATMENT</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%; height: 33.1719px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 33.1719px;""> <td style=""width: 100.021%; text-align: left; height: 33.1719px;"">Does the patient use Invasive or Non-Invasive Ventilation? {niv_dic}</td> </tr> <tr> <td style=""width: 100.021%; text-align: left;"">Does the patient use cough assist? {cough}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
niv_dic,treatment,,radio,"Invasive or Non-Invasive Ventilation","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
cough,treatment,,radio,"Cough Assist","0, No | 1, Yes | 98, Unknown",,,,,,,y,RH,,,,
respiratory_tbl12,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 100.021%; height: 10px; text-align: left;"">Cough Assist Date:<span style=""font-weight: normal;""> </span>{cough_date} <span style=""font-weight: normal;"">([cough_age] y.o.) </span></td> </tr> </tbody> </table></div>",,,,,,,"[cough] = '1'",,,,,,
cough_date,treatment,,text,"Cough date",,,date_dmy,[basic_arm_1][dob],today,y,"[cough] = '1'",y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
cough_age,treatment,,calc,"Cough Age","round(datediff([cough_date],[basic_arm_1][dob],'y'),2)",,,,,,"[cough] = '1'",,LV,,,," @HIDDEN"
respiratory_tbl5,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>INVASIVE OR NON-IVASIVE VENTILATION</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[niv_dic] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:ventilation_info"
respiratory_tbl15,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.9359%; height: 10px; text-align: left;"">Has the patient had a tracheostomy? {tracheostomy}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
respiratory_tbl16,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 100.021%; height: 10px; text-align: left;"">Tracheostomy placement Date:<span style=""font-weight: normal;""> </span>{tracheostomy_date} <span style=""font-weight: normal;"">([tracheostomy_date_age] y.o.) </span></td> </tr> </tbody> </table></div>",,,,,,,"[tracheostomy] = '1'",,,,,,
tracheostomy,treatment,,radio,"Tracheostomy placement","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
tracheostomy_date,treatment,,text,"Tracheostomy placement date",,,date_dmy,[basic_arm_1][dob],today,y,"[tracheostomy] = '1'",y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
tracheostomy_date_age,treatment,,calc,"Tracheostomy placement Age","round(datediff([tracheostomy_date],[basic_arm_1][dob],'y'),2)",,,,,,"[tracheostomy] = '1'",,LV,,,," @HIDDEN"
treatment_tbl5,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h5><span style=""color: #ffffff;""><strong>NUTRITIONAL TREATMENT</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%; height: 21.5139px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 21.5139px;""> <td style=""width: 100.021%; text-align: left;"">Has the patient ever taken nutritional supplements? {nut_sup}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
treatment_tbl7,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>NUTRITIONAL SUPPLEMENTS</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[nut_sup] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:nutritional_supplements
@INSTANCETABLE_VARLIST=nut_sup_start_date,nut_sup_type,nut_sup_intake,nut_sup_status"
gast_carrier_dic,treatment,,radio,"Gastrostomy Placement","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
